Lat (DD),Long (DD),Depth
51.325586274,-003.500113857,-17.302
51.325583123,-003.500086756,-17.328
51.325590170,-003.500076386,-17.399
51.325585644,-003.500059311,-17.433
51.325585415,-003.500034388,-17.469
51.325593894,-003.500010954,-17.352
51.325588910,-003.499989582,-16.849
51.325587248,-003.499973826,-16.812
51.325586160,-003.499958872,-16.799
51.325583180,-003.499953085,-16.856
51.325590514,-003.499934063,-16.888
51.325584211,-003.499914181,-16.963
51.325587477,-003.499897565,-16.991
51.325584269,-003.499880319,-17.041
51.325584842,-003.499856026,-17.077
51.325588681,-003.499844681,-17.110
51.325587420,-003.499825888,-17.181
51.325593665,-003.499807382,-17.286
51.325593665,-003.499257400,-17.812
51.325593207,-003.499250983,-17.890
51.325588050,-003.499229726,-17.898
51.325589826,-003.499211277,-17.930
51.325585988,-003.499197812,-18.006
51.325590800,-003.499162747,-17.972
51.325585243,-003.499157304,-17.965
51.325586217,-003.499141490,-17.994
51.325586561,-003.499125677,-18.094
51.325585128,-003.499105738,-18.114
51.325585071,-003.499080700,-18.173
51.325588910,-003.499068037,-18.235
51.325585071,-003.499054172,-18.282
51.325583810,-003.499022659,-18.275
51.325590858,-003.499006903,-18.265
51.325590514,-003.498999110,-18.282
51.325591488,-003.498968858,-18.178
51.325593780,-003.498953618,-18.019
51.325592634,-003.498931444,-17.750
51.325592290,-003.498924167,-17.737
51.325587821,-003.498906979,-17.773
51.325590399,-003.498886868,-17.827
51.325584269,-003.498873804,-17.874
51.325590342,-003.498856845,-17.944
51.325583868,-003.498838854,-17.963
51.325589712,-003.498819259,-18.052
51.325584383,-003.498801039,-18.101
51.325585988,-003.498783277,-18.132
51.325585014,-003.498766375,-18.195
51.325585873,-003.498745519,-18.257
51.325589998,-003.498723690,-18.285
51.325589082,-003.498700943,-18.383
51.325583123,-003.498692578,-18.469
51.325587535,-003.498675561,-18.511
51.325586503,-003.498657570,-18.600
51.325587936,-003.498635168,-18.707
51.325584326,-003.498621417,-18.759
51.325583409,-003.498605431,-18.788
51.325586389,-003.498569736,-18.818
51.325588623,-003.498552719,-18.661
51.325590399,-003.498537937,-18.629
51.325586561,-003.498530545,-18.607
51.325589941,-003.498502356,-18.689
51.325587707,-003.498490267,-18.674
51.325587134,-003.498479495,-18.741
51.325589826,-003.498457493,-18.769
51.325590457,-003.498427642,-18.775
51.325588451,-003.498415782,-18.772
51.325586331,-003.498398880,-18.707
51.325589998,-003.498378540,-18.743
51.325588795,-003.498358372,-18.787
51.325591316,-003.498339693,-18.743
51.325585587,-003.498332875,-18.761
51.325587363,-003.498314139,-18.765
51.325584154,-003.498282569,-18.790
51.325593436,-003.498264464,-18.524
51.325593264,-003.498261083,-18.626
51.325584154,-003.498240457,-18.723
51.325585816,-003.498226706,-18.741
51.325584670,-003.498206309,-18.806
51.325590858,-003.498186484,-18.827
51.325585014,-003.498166316,-18.832
51.325592806,-003.498142481,-18.779
51.325592061,-003.498132569,-18.781
51.325591202,-003.498119448,-18.819
51.325591660,-003.498090628,-18.849
51.325593436,-003.498083581,-18.902
51.325587649,-003.498064502,-18.907
51.325586561,-003.498048287,-18.952
51.325592519,-003.498016774,-18.983
51.325594124,-003.498005544,-18.988
51.325593493,-003.497994601,-19.084
51.325594124,-003.497960854,-19.164
51.325592978,-003.497947217,-19.113
51.325589483,-003.497923898,-19.095
51.325592806,-003.497905563,-19.083
51.325592519,-003.497904876,-19.087
51.325587019,-003.497880525,-19.172
51.325583982,-003.497864769,-19.226
51.325594181,-003.497834803,-19.220
51.325588681,-003.497818302,-19.173
51.325590514,-003.497814119,-19.152
51.325587134,-003.497796071,-19.175
51.325594066,-003.497775101,-19.195
51.325587878,-003.497746911,-19.242
51.325587305,-003.497738832,-19.299
51.325592749,-003.497721243,-19.353
51.325594009,-003.497706861,-19.396
51.325589998,-003.497689214,-19.395
51.325593837,-003.497658504,-19.178
51.325592290,-003.497646529,-19.098
51.325595900,-003.500209083,-17.409
51.325597390,-003.500197681,-17.382
51.325594582,-003.500173158,-17.447
51.325604953,-003.500157975,-17.335
51.325594639,-003.500135973,-17.272
51.325595098,-003.500123024,-17.312
51.325596874,-003.500109961,-17.365
51.325594983,-003.500090881,-17.395
51.325594869,-003.500077188,-17.452
51.325598593,-003.500060744,-17.472
